"Plant.Code","Plant.Name","State","Latitude","Longitude","DC","HB","ON","PN","RC","RT","NA"
357,"Rush Creek","CA","37.766953999999998","-119.123284",0,0,0,0,0,0,22177
358,"Mountainview Generating Station","CA","34.081800000000001","-117.2418",0,0,0,0,6172663.1,0,0
361,"Santa Ana 1","CA","34.145220000000002","-117.058481",0,0,0,0,0,0,513
363,"Santa Ana 3","CA","34.107244999999999","-117.099091",0,0,0,0,0,0,1777
365,"Lower Tule River","CA","36.135680000000001","-118.78886799999999",0,0,0,0,0,0,6693
371,"Columbia Generating Station","WA","46.4711","-119.3339",0,0,0,0,9497321,0,0
376,"Pardee","CA","38.256900000000002","-120.8507",0,0,0,0,0,0,25634
377,"Grayson","CA","34.1556","-118.2782",0,0,0,0,0,0,159274
378,"Prairie River","MN","47.287205999999998","-93.498266000000001",0,0,0,0,0,0,2524
380,"Dion R Holm","CA","37.896648999999996","-119.9675",0,0,0,0,0,0,428782
381,"Moccasin","CA","37.809387999999998","-120.299254",0,0,0,0,0,0,287852
382,"R C Kirkwood","CA","37.877667000000002","-119.953233",0,0,0,0,0,0,312936
384,"Joliet 29","IL","41.494636","-88.123827000000006",0,0,0,0,0,0,5061425.962
385,"Drop 2 (CA)","CA","32.705435000000001","-115.030975",0,0,0,0,0,0,45567
386,"Drop 3 (CA)","CA","32.705427999999998","-115.126103",0,0,0,0,0,0,41178
387,"Drop 4","CA","32.705340999999997","-115.219067",0,0,0,0,0,0,96166
388,"Pilot Knob","CA","32.736642000000003","-114.713858",0,0,0,0,0,0,22206
389,"El Centro","CA","32.802222","-115.54",0,0,0,0,1165974,0,0
390,"Solomon Gulch","AK","61.082799999999999","-146.30330000000001",0,0,0,0,0,0,54955
391,"Big Pine Creek","CA","37.142795","-118.32407499999999",0,0,0,0,0,0,9526
392,"Castaic","CA","34.587237000000002","-118.656638",0,0,0,0,0,0,183638
393,"Control Gorge","CA","37.437921000000003","-118.556988",0,0,0,0,0,0,2831
394,"Cottonwood","CA","36.443421000000001","-118.04389",0,0,0,0,0,0,1563
396,"Foothill","CA","34.318247999999997","-118.494449",0,0,0,0,0,0,19917
397,"Franklin (CA)","CA","34.103931000000003","-118.413377",0,0,0,0,0,0,-4
398,"Haiwee","CA","36.109721999999998","-117.956667",0,0,0,0,0,0,3536
399,"Harbor","CA","33.785600000000002","-118.26439999999999",0,0,0,0,0,0,106510
400,"Haynes","CA","33.764741000000001","-118.09913",0,0,2628045,0,0,0,313039
401,"Middle Gorge","CA","37.51","-118.56916699999999",0,0,0,0,0,0,22082
402,"Pleasant Valley Hydro","CA","37.414160000000003","-118.523889",0,0,0,0,0,0,2018
403,"San Fernando","CA","34.260527000000003","-118.385531",0,0,0,0,0,0,-28
404,"Scattergood","CA","33.918151000000002","-118.427648",0,0,1133912.01,0,0,0,0
406,"Tok","AK","63.3367","-142.98560000000001",0,0,0,0,0,0,8902
407,"Upper Gorge","CA","37.546036000000001","-118.590001",0,0,0,0,0,0,27323
408,"Valley (CA)","CA","34.244990999999999","-118.391327",0,0,0,0,1560975,0,5577
