"Plant.Code","Plant.Name","State","Latitude","Longitude","total.consumption"
6018,"East Bend","KY","38.903599999999997","-84.851399999999998",1071246528.368
6019,"W H Zimmer","OH","38.8675","-84.228899999999996",6197470996.843
6021,"Craig (CO)","CO","40.462699999999998","-107.5912",10244768819.361
6030,"Coal Creek","ND","47.377743000000002","-101.15705800000001",8649897215.962
6031,"Killen Station","OH","38.690300000000001","-83.4803",1405987798.256
6035,"Greenwood (MI)","MI","43.105600000000003","-82.696399999999997",52030375.852
6041,"H L Spurlock","KY","38.700000000000003","-83.818100000000001",12580078447.1431
6042,"Manatee","FL","27.605799999999999","-82.345600000000005",4550313711.95
6043,"Martin","FL","27.053599999999999","-80.562799999999996",19132579521.797
6052,"Wansley","GA","33.413420000000002","-85.032329000000004",4726608722.246
6055,"Big Cajun 2","LA","30.726099999999999","-91.369200000000006",7884597773.504
6056,"Kahului","HI","20.896884","-156.46269599999999",246268108
6061,"R D Morrow","MS","31.218599999999999","-89.394000000000005",562451936
6064,"Nearman Creek","KS","39.168100000000003","-94.697500000000005",506084266.848
6065,"Iatan","MO","39.447200000000002","-94.98",3381162645.328
6068,"Jeffrey Energy Center","KS","39.286453000000002","-96.117231000000004",16752791653.794
6071,"Trimble County","KY","38.584699999999998","-85.411699999999996",5107253623.648
6073,"Victor J Daniel Jr","MS","30.5322","-88.555300000000003",17738558422.21
6076,"Colstrip","MT","45.883099999999999","-106.614",20203031419.936
6077,"Gerald Gentleman","NE","41.080800000000004","-101.1408",35348444813.55
6081,"Stony Brook","MA","42.197800000000001","-72.510599999999997",78348857.44
6085,"R M Schahfer","IN","41.2164","-87.0261",8893120405.368
6089,"Lewis & Clark","MT","47.6785","-104.15665",141873049.814
6090,"Sherburne County","MN","45.380800000000001","-93.893100000000004",19466809964.406
6094,"FirstEnergy Bruce Mansfield","PA","40.634799999999998","-80.415899999999993",18925584706.08
6095,"Sooner","OK","36.453069999999997","-97.052790000000002",23540400322.048
6096,"Nebraska City","NE","40.621400000000001","-95.776399999999995",3248800078.67
6098,"Big Stone","SD","45.303652","-96.510067000000006",990874207.808
6106,"Boardman","OR","45.693182","-119.808819",6395007013.099
6112,"Fort St Vrain","CO","40.246099999999998","-104.8742",1325548497
6113,"Gibson","IN","38.372222000000001","-87.765833000000001",177207424527.53
6136,"Gibbons Creek","TX","30.619937","-96.081845999999999",5556958335.5
6137,"A B Brown","IN","37.905299999999997","-87.715000000000003",2238900668.542
6138,"Flint Creek","AR","36.256100000000004","-94.524100000000004",7260413033.979
6139,"Welsh","TX","33.055219999999998","-94.839993000000007",8812392909.216
6165,"Hunter","UT","39.174700000000001","-111.02889999999999",10045205421.216
6166,"Rockport","IN","37.925600000000003","-87.037199999999999",12303778110.464
6170,"Pleasant Prairie","WI","42.5381","-87.903300000000002",4584337045.426
6177,"Coronado","AZ","34.578899999999997","-109.27079999999999",3989048644.064
6178,"Coleto Creek","TX","28.712800000000001","-97.214167000000003",10330241409.925
6180,"Oak Grove (TX)","TX","31.180299999999999","-96.486599999999996",51401676056.3
6181,"J T Deely","TX","29.308056000000001","-98.322800000000001",22720506889.7
6183,"San Miguel","TX","28.7044","-98.477500000000006",799675784.832
6190,"Brame Energy Center","LA","31.395","-92.716667000000001",29928452127.86
6193,"Harrington","TX","35.298160000000003","-101.747187",8388407014.242
6194,"Tolk","TX","34.186494000000003","-102.56999",6550240818.75
6195,"John Twitty Energy Center","MO","37.151705999999997","-93.388040000000004",1774129550.298
6204,"Laramie River Station","WY","42.108888999999998","-104.88249999999999",11152662052.944
6213,"Merom","IN","39.069400000000002","-87.510800000000003",25740806965.73
6246,"Putnam","FL","29.628337999999999","-81.585083999999995",304900637.672
6248,"Pawnee","CO","40.221699999999998","-103.6803",995114035.443
6249,"Winyah","SC","33.331944","-79.357221999999993",22179706476.902
6250,"Mayo","NC","36.527799999999999","-78.8917",1902186832.544
6254,"Ottumwa","IA","41.0961","-92.555833000000007",968721734.256
6257,"Scherer","GA","33.060600000000001","-83.807500000000005",27812771345.472
6264,"Mountaineer","WV","38.979399999999998","-81.934399999999997",3032773017.568
6285,"North Pole","AK","64.735600000000005","-147.34809999999999",48340557.475
6288,"Healy","AK","63.854199999999999","-148.94999999999999",90535735
6358,"Hutchinson Plant #2","MN","44.888880999999998","-94.349348000000006",1532720
6469,"Antelope Valley","ND","47.370542","-101.83566",4296024137.701
6474,"Port Allen (HI)","HI","21.899583","-159.58504199999999",1858879
6481,"Intermountain Power Project","UT","39.509731000000002","-112.58018",9104191910.24
6504,"Maalaea","HI","20.801169999999999","-156.49298099999999",324699945
6558,"D G Hunter","LA","31.320699999999999","-92.461299999999994",27896
6559,"George M Sullivan Generation Plant 2","AK","61.229712999999997","-149.71674400000001",190879118.056
6639,"R D Green","KY","37.646099999999997","-87.5",2548579550.144
6641,"Independence Steam Electric Station","AR","35.678441999999997","-91.408760999999998",10704731130.618
6648,"Sandow No 4","TX","30.565871000000001","-97.064031999999997",8988530901.072
6664,"Louisa","IA","41.318100000000001","-91.093100000000007",1828517990.241
6705,"Warrick","IN","37.914999999999999","-87.332800000000006",4512059949.3
6761,"Rawhide","CO","40.860905000000002","-105.021207",4328387597.102
6768,"Sikeston Power Station","MO","36.879100000000001","-89.620900000000006",641897250.576
6772,"Hugo","OK","34.015799999999999","-95.320599999999999",905494544.736
6823,"D B Wilson","KY","37.4497","-87.080600000000004",1102313822.16
7013,"East 12th Street","KS","37.236699999999999","-96.962500000000006",5334532
7030,"Twin Oaks Power One","TX","31.091925","-96.695030000000003",1704619703.486
7097,"J K Spruce","TX","29.309722000000001","-98.320300000000003",37029166211.45
